common_name;season;wins;draws;losses;league_position;goals_scored;goals_conceded;first_team_to_score_count;corners_total;cards_total;average_possession;shots;shots_on_target;shots_off_target;fouls;fouls_home;fouls_away;average_total_goals_per_match;goals_scored_per_match;goals_conceded_per_match;win_percentage;first_team_to_score_percentage;corners_per_match;cards_per_match;xg_for_avg_overall;xg_against_avg_overall;draw_percentage_overall;loss_percentage_ovearll;points_per_game
Villarreal;2021/2022;16;11;11;7;63;37;19;200;81;57;499;205;294;477;266;211;2,63;1,66;0,97;42;50;5,26;2,13;1,6;1,38;29;29;1,55
FC Barcelona;2021/2022;21;10;7;2;68;38;22;220;101;64;547;235;312;484;248;236;2,79;1,79;1;55;58;5,79;2,66;1,97;1,11;26;18;1,92
Real Madrid;2021/2022;26;8;4;1;80;31;23;220;76;60;695;294;401;389;202;187;2,92;2,11;0,82;68;61;5,79;2;2,34;1,37;21;11;2,26
Sevilla FC;2021/2022;18;16;4;4;53;30;23;175;101;59;472;194;278;458;235;223;2,18;1,39;0,79;47;61;4,61;2,66;1,47;1,34;42;11;1,84
Atlético Madrid;2021/2022;21;8;9;3;65;43;25;201;120;50;493;189;304;472;246;226;2,84;1,71;1,13;55;66;5,29;3,16;1,49;1,17;21;24;1,87
Deportivo Alavés;2021/2022;8;7;23;20;31;65;11;139;95;42;419;164;255;522;268;254;2,53;0,82;1,71;21;29;3,66;2,5;0,99;1,66;18;61;0,82
RCD Espanyol;2021/2022;10;12;16;14;40;53;16;172;107;47;441;177;264;443;232;211;2,45;1,05;1,39;26;42;4,53;2,82;1,17;1,67;32;42;1,11
Celta de Vigo;2021/2022;12;10;16;11;43;43;17;167;91;55;435;183;252;507;247;260;2,26;1,13;1,13;32;45;4,39;2,39;1,38;1,31;26;42;1,21
Granada CF;2021/2022;8;14;16;18;44;61;11;159;111;45;469;190;279;468;239;229;2,76;1,16;1,61;21;29;4,18;2,92;1,22;1,79;37;42;1
Real Betis;2021/2022;19;8;11;5;62;40;17;174;97;54;541;225;316;483;255;228;2,68;1,63;1,05;50;45;4,58;2,55;1,66;1,43;21;29;1,71
Athletic Club Bilbao;2021/2022;14;13;11;8;43;36;16;224;92;48;505;207;298;471;237;234;2,08;1,13;0,95;37;42;5,89;2,42;1,6;1,4;34;29;1,45
CA Osasuna;2021/2022;12;11;15;10;37;51;18;179;87;47;469;165;304;476;252;224;2,32;0,97;1,34;32;47;4,71;2,29;1,39;1,45;29;39;1,24
Valencia CF;2021/2022;11;15;12;9;48;53;16;175;139;44;436;177;259;628;305;323;2,66;1,26;1,39;29;42;4,61;3,66;1,2;1,51;39;32;1,26
Real Sociedad;2021/2022;17;11;10;6;40;37;20;186;84;55;467;195;272;489;272;217;2,03;1,05;0,97;45;53;4,89;2,21;1,46;1,3;29;26;1,63
Rayo Vallecano;2021/2022;11;9;18;12;39;50;14;190;106;50;543;178;365;523;278;245;2,34;1,03;1,32;29;37;5;2,79;1,58;1,46;24;47;1,11
Levante UD;2021/2022;8;11;19;19;51;76;12;168;117;46;459;189;270;530;266;264;3,34;1,34;2;21;32;4,42;3,08;1,37;1,63;29;50;0,92
Getafe CF;2021/2022;8;15;15;15;33;41;15;136;135;41;440;161;279;544;267;277;1,95;0,87;1,08;21;39;3,58;3,55;0,99;1,39;39;39;1,03
Elche CF;2021/2022;11;9;18;13;40;52;16;155;115;49;381;150;231;518;258;260;2,42;1,05;1,37;29;42;4,08;3,03;0,92;1,63;24;47;1,11
RCD Mallorca;2021/2022;10;9;19;17;36;63;12;160;119;45;462;184;278;534;266;268;2,61;0,95;1,66;26;32;4,21;3,13;1,38;1,47;24;50;1,03
Cádiz;2021/2022;8;15;15;16;35;51;14;181;106;41;456;173;283;468;247;221;2,26;0,92;1,34;21;37;4,76;2,79;1,21;1,57;39;39;1,03
